Index,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers,Latitude,Longitude
185,UNIVERSITY OF MISSOURI SYSTEM,USA,1155,23146,20.04,20,37.570304,-77.537784
186,UNIVERSITY OF EDINBURGH,SCOTLAND,1445,23011,15.92,24,55.9440764,-3.1883736
187,QINGDAO UNIVERSITY,CHINA,953,22865,23.99,46,36.0759764,120.4129131
188,CONCORDIA UNIVERSITY - CANADA,CANADA,1323,22628,17.1,14,45.49741,-73.5771
189,UNIVERSITY OF MICHIGAN SYSTEM,USA,1663,22502,13.53,22,42.4387744,-83.3760919
190,UNIVERSITY OF WASHINGTON,USA,1242,22399,18.03,23,47.6554303,-122.3001692
191,AUSTRALIAN NATIONAL UNIVERSITY,AUSTRALIA,975,22346,22.92,23,-35.2813935,149.1171451
192,KING'S COLLEGE LONDON,ENGLAND,1168,22264,19.06,26,51.5030855,-0.0900021
193,UNIVERSITY OF MICHIGAN,USA,1618,22182,13.71,22,42.2942142,-83.7100389
194,PENNSYLVANIA STATE UNIVERSITY,USA,1386,22085,15.93,12,40.8025835,-77.8559383
195,UNIVERSITI TEKNOLOGI MALAYSIA,MALAYSIA,1090,21961,20.15,20,1.5585222,103.6399138
196,INSTITUTE OF INFORMATION ENGINEERING CAS,CHINA,1443,21865,15.15,15,35.0,105.0
197,FUZHOU UNIVERSITY,CHINA,1542,21687,14.06,16,26.0614068,119.1933416
198,AMIRKABIR UNIVERSITY OF TECHNOLOGY,IRAN,1507,21630,14.35,9,35.704462,51.4095924
199,NOKIA CORPORATION,FINLAND,790,21545,27.27,28,64.0,26.0
200,UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN,USA,1681,21541,12.81,15,40.0761545,-88.2233134
201,UNIVERSITY OF WASHINGTON SEATTLE,USA,1124,21353,19.0,22,47.6554303,-122.3001692
202,UNIVERSITY OF ERLANGEN NUREMBERG,GERMANY (FED REP GER),979,21319,21.78,34,49.45421,11.07752
203,SUNGKYUNKWAN UNIVERSITY (SKKU),SOUTH KOREA,1317,21287,16.16,23,37.5870459,126.9906264
204,SOUTHERN UNIVERSITY OF SCIENCE & TECHNOLOGY,CHINA,1322,20919,15.82,33,22.5956365,113.9955519
205,INTERNATIONAL BUSINESS MACHINES (IBM),USA,1542,20911,13.56,18,44.0615993,-92.5019132
206,WENZHOU UNIVERSITY,CHINA,508,20814,40.97,50,27.9214179,120.6486998
207,ARIZONA STATE UNIVERSITY-TEMPE,USA,1194,20776,17.4,16,33.4213174,-111.9331631
208,NATIONAL TAIWAN UNIVERSITY OF SCIENCE & TECHNOLOGY,TAIWAN,1137,20534,18.06,17,25.013411,121.5416198
209,UNIVERSITY OF MARYLAND COLLEGE PARK,USA,1292,20384,15.78,17,38.9904124,-76.9438586
210,SORBONNE UNIVERSITE,FRANCE,1360,20331,14.95,13,48.8379885,2.3611216
211,A*STAR - INSTITUTE FOR INFOCOMM RESEARCH (I2R),SINGAPORE,738,20270,27.47,22,1.28967,103.85007
212,NEW JERSEY INSTITUTE OF TECHNOLOGY,USA,966,20163,20.87,19,40.7421254,-74.1790316
213,TON DUC THANG UNIVERSITY,VIETNAM,773,20038,25.92,20,10.7320052,106.6984654
214,GHENT UNIVERSITY,BELGIUM,1576,20020,12.7,12,51.0078484,3.7108831
215,UNIVERSITY OF BRISTOL,ENGLAND,789,19959,25.3,21,51.4905582,-2.6304825
216,DUY TAN UNIVERSITY,VIETNAM,654,19815,30.3,27,16.16667,107.83333
217,UNIVERSITY OF OSLO,NORWAY,841,19814,23.56,25,59.9414173,10.7227683
218,ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE,SWITZERLAND,1400,19485,13.92,9,46.5186594,6.5665615
219,ZHEJIANG UNIVERSITY OF TECHNOLOGY,CHINA,1346,19212,14.27,27,30.2211974,120.0154776
220,UNIVERSITY OF MINNESOTA SYSTEM,USA,1154,19205,16.64,20,37.570304,-77.537784
221,UNIVERSITY OF WARWICK,ENGLAND,1112,19095,17.17,27,52.3813073,-1.5639569
222,UNIVERSITY OF CALIFORNIA DAVIS,USA,1141,18937,16.6,12,38.5337904,-121.7907544
223,UNIVERSITY OF LUXEMBOURG,LUXEMBOURG,1133,18931,16.71,24,49.5036259,5.9487155
224,MAX PLANCK SOCIETY,GERMANY (FED REP GER),1119,18900,16.89,19,51.5,10.5
225,CORNELL UNIVERSITY,USA,1023,18896,18.47,20,42.4529076,-76.4800842
226,JILIN UNIVERSITY,CHINA,1886,18814,9.98,16,43.880146,125.301151
227,UNIVERSITY OF MINNESOTA TWIN CITIES,USA,1091,18563,17.01,20,44.9863392,-93.1794558
228,SHANDONG UNIVERSITY OF SCIENCE & TECHNOLOGY,CHINA,1236,18507,14.97,21,36.0014644,120.1163655
229,HARBIN ENGINEERING UNIVERSITY,CHINA,1516,18503,12.21,19,45.7748896,126.6764826
230,MACQUARIE UNIVERSITY,AUSTRALIA,964,18443,19.13,15,-33.774197,151.1127327
231,TOHOKU UNIVERSITY,JAPAN,706,18229,25.82,23,38.2541921,140.8407024
232,UNIVERSIDADE DE SAO PAULO,BRAZIL,1362,18160,13.33,10,-23.5652201,-46.712583
233,EAST CHINA NORMAL UNIVERSITY,CHINA,1579,18125,11.48,20,31.2284923,121.4021139
234,DE MONTFORT UNIVERSITY,ENGLAND,545,17972,32.98,30,52.6304717,-1.1402281
235,WUHAN UNIVERSITY OF TECHNOLOGY,CHINA,1363,17958,13.18,18,30.608988,114.3514267
236,SHANDONG NORMAL UNIVERSITY,CHINA,993,17927,18.05,27,36.5414035,116.8264091
237,INDIAN INSTITUTE OF TECHNOLOGY (IIT) - KHARAGPUR,INDIA,1380,17919,12.98,13,22.3144275,87.310392
238,QUEENS UNIVERSITY BELFAST,NORTHERN IRELAND,773,17881,23.13,19,54.5839495,-5.9328105
239,AALBORG UNIVERSITY,DENMARK,1074,17782,16.56,14,57.015907,9.9753082
240,TEXAS A&M UNIVERSITY COLLEGE STATION,USA,1266,17680,13.97,11,30.6108618,-96.3520606
241,TEXAS A&M UNIVERSITY QATAR,QATAR,531,17674,33.28,17,25.3147411,51.43903
242,INSTITUTE OF COMPUTING TECHNOLOGY CAS,CHINA,1473,17652,11.98,17,35.0,105.0
243,EINDHOVEN UNIVERSITY OF TECHNOLOGY,NETHERLANDS,1484,17593,11.86,8,51.4486602,5.4903996
244,NANKAI UNIVERSITY,CHINA,1114,17543,15.75,32,38.9874344,117.339411
245,ASIA UNIVERSITY TAIWAN,TAIWAN,857,17538,20.46,22,23.5,121.0
246,PENNSYLVANIA STATE UNIVERSITY - UNIVERSITY PARK,USA,934,17529,18.77,9,40.8025835,-77.8559383
247,UNIVERSITY OF WOLLONGONG,AUSTRALIA,1052,17472,16.61,17,-34.4050554,150.8783465
248,SEOUL NATIONAL UNIVERSITY (SNU),SOUTH KOREA,1594,17388,10.91,10,37.458115,126.9521607
249,ARMY ENGINEERING UNIVERSITY OF PLA,CHINA,1355,17297,12.77,10,35.0,105.0
250,UNIVERSITY OF ILLINOIS CHICAGO,USA,682,17249,25.29,22,41.8689223,-87.6485848
251,UNIVERSITY OF ILLINOIS CHICAGO HOSPITAL,USA,678,17157,25.31,22,41.8697173,-87.670463
252,EAST CHINA UNIVERSITY OF SCIENCE & TECHNOLOGY,CHINA,969,17132,17.68,24,31.1456519,121.4241403
253,YANGZHOU UNIVERSITY,CHINA,740,17116,23.13,17,32.3441707,119.3946419
254,OHIO STATE UNIVERSITY,USA,1022,16936,16.57,13,40.7988105,-82.5782294
255,SHARIF UNIVERSITY OF TECHNOLOGY,IRAN,1322,16854,12.75,13,35.7025215,51.3517293
256,UNIVERSITY OF SHEFFIELD,ENGLAND,950,16820,17.71,21,53.3815042,-1.4833688
257,SAMSUNG,SOUTH KOREA,886,16730,18.88,9,35.8591129,128.6363421
258,INTEL CORPORATION,USA,1053,16636,15.8,12,30.2623934,-97.7934026
259,UNIVERSITY OF QUEENSLAND,AUSTRALIA,968,16581,17.13,15,-27.4981424,153.0111536
